title,date
Студенты МАИ разрабатывают беспилотник «Кукушка» для помощи МЧС,2026-05
Студентка МАИ создала программу для восстановления данных о движении спутников,2026-05
"В МАИ спроектировали электродвигатель, который можно напечатать на 3D-принтере",2026-05
В ПИШ МАИ создан специализированный участок по производству электродвигателей и генераторов,2026-05
Принтер для микроэлектроники: в МАИ разработали бюджетную установку для создания печатных плат,2026-05
Лазерный удар против микротрещин: в МАИ внедряют новый способ упрочнения поверхности авиационных деталей,2026-05
"Робот, который находит брак: разработку МАИ представили на конференции «Цифровая индустрия промышленной России»",2026-05
В МАИ разработали инновационную технологию обработки титановых сплавов для защиты самолётов и машин,2026-05
В МАИ создают систему интуитивного обучения для роботов‑манипуляторов,2026-05
В МАИ разработали уникальную технологию изготовления высокопрочных и недорогих пропеллеров для дронов,2026-05
Созданные в МАИ модели расчёта помогут улучшить теплоизоляцию спутников и обитаемых космических модулей,2026-04
В МАИ разработали и испытали «умные» наноконтейнеры для адресной доставки лекарств в организм,2026-04
В МАИ создают систему защиты космонавтов от разрушения костей в длительных полётах,2026-04
От спутников до технологий для РОС: проректор Андрей Иванов о космических проектах МАИ,2026-04
В МАИ создают кубсат‑ретранслятор для миссии «Венера‑Д»,2026-04
«Вечная» станция и роботы-ассистенты: каким будет космос после МКС,2026-04
В МАИ разрабатывают инновационный материал для накопителей энергии электротранспорта,2026-04
В МАИ разрабатывают интеллектуального помощника для планирования досуга,2026-03
"В МАИ разработали первый универсальный пульт для БЛА, позволяющий ускорить подготовку операторов дронов",2026-03
Конец эпохи или вынужденный шаг: почему OpenAI закрывает Sora и что будет с ИИ-видео дальше,2026-03
Первая ласточка новой эры: к чему приведёт запуск 16 спутников группировки «Рассвет»,2026-03
Адаптивный заполнитель и 3D-печать: в МАИ разработали технологию создания более лёгких конструкций БЛА,2026-03
Миллион лет сжался в минуты: что сулит эра квантового превосходства — прорыв или катастрофа,2026-03
В МАИ разработали пилотную версию интеллектуальной системы для очистки воды на промышленных предприятиях,2026-03
После МКС: смогут ли частные орбитальные станции изменить космическую отрасль,2026-03
В МАИ усовершенствовали математическую модель поведения лётчика,2026-03
Учёные МАИ усовершенствовали методику создания инновационных позвоночных имплантатов,2026-03
В МАИ разработали устройство для ремонта авиационных конструкций из композитов без демонтажа,2026-03
В МАИ разработали полностью автоматический станок для сборки кабельных жгутов,2026-03
В МАИ разработали преобразователь напряжения для снижения веса кабельных сетей на борту самолётов,2026-03
Вызовы и точки роста: в МАИ обсудили будущее радиолокационных спутников дистанционного зондирования Земли,2026-02
Автономность и адаптивность: в МАИ разрабатывают интеллектуальную систему управления роем дронов для сложных миссий,2026-02
В МАИ создали первый отечественный миниатюрный гоночный дрон,2026-02
Разработка МАИ увеличит время полёта БЛА за счёт более эффективного управления двигателем,2026-02
В МАИ разработали систему защиты дронов от экстремальных температур,2026-02
Умный планировщик: маёвцы приняли участие в создании интеллектуальной системы управления производством,2026-02
В МАИ разработали проект системы охлаждения для будущей лунной базы,2026-02
В МАИ разработали метод повышения прочности и долговечности авиадеталей с помощью нанотрубок,2026-02
В МАИ разработали перспективный лёгкий заполнитель для обшивки космических аппаратов и самолётов,2026-02
Им бы в небо? Зачем запустили дирижабль «Сянъюнь» в Китае и возможно ли будущее дирижаблей в России,2026-02
Система предиктивной аналитики от студентов МАИ поможет агрохозяйствам повысить урожайность на 10–20%,2026-02
Студент МАИ участвует в создании инсулиновой помпы с полным управлением со смартфона,2026-02
Пуэр одним нажатием: студенты МАИ разрабатывают не имеющую аналогов в России коммерческую чаеварку,2026-02
Дрон-спасатель без GPS: разработка МАИ откроет новые возможности для поисковых операций,2026-02
Роботы-продавцы и стюарды: студенты МАИ создают универсальную платформу для сферы услуг,2026-01
"Почему «Зоркий» — не аналог Starlink, и какая маёвская спутниковая технология может составить конкуренцию проекту Space X",2026-01
В МАИ разработали стабилизатор антенны для увеличения дальности связи беспилотников,2026-01
Полёт в тишине: в МАИ разрабатывают методику снижения шума в салоне самолёта,2026-01
Аспирант МАИ предложил концепцию платформы для доступа вузов к российскому ПО,2026-01
"В МАИ разработали нейросетевое решение для беспилотников, обнаруживающее пожар на ранней стадии",2026-01
В МАИ придумали комплекс для моделирования посадки первой ступени многоразовой ракеты,2026-01
«Алгоритмическая шизофрения»: почему нейросети галлюцинируют и можно ли их «вылечить»,2026-01
Разработанная в МАИ умная система для предсказания деформации печатных плат внедрена на производстве,2026-01
«УниверСат»: Роскосмос отправил на орбиту студенческий спутник с двигателем МАИ,2025-12
В МАИ разработали установку для ультразвукового сверления высокопрочной керамики,2025-12
"В МАИ создают нейросеть, в десятки раз ускоряющую расчёт аэродинамики летательных аппаратов",2025-12
"Беспилотники, лазерные установки, антенны, энергетические двигатели: в МАИ подвели итоги XVIII Аэрокосмической декады",2025-12
В МАИ стартовала XVIII Всероссийская студенческая научная школа «Аэрокосмическая декада»,2025-12
В МАИ разработали инновационный двигатель для малых космических аппаратов,2025-12
В МАИ разработали методы прогнозирования опасного вихревого кольца у вертолётов,2025-12
В МАИ разрабатывают сервис для оценки качества услуг с помощью ИИ,2025-12
В МАИ разработали и протестировали систему управления БЛА на дальних расстояниях через геостационарный спутник,2025-11
В МАИ стартовал VI Всероссийский форум «Научно-техническое развитие и задачи глобального лидерства»,2025-11
Ювелирная точность без сверления: в МАИ разрабатывают отечественную технологию клеевого ремонта композитов,2025-11
10 проектов школьников прошли в финал конкурса МАИ и СоюзМаш «Я – конструктор будущего»,2025-11
Экологичный курьер? Как беспилотное будущее повлияет на природу,2025-11
Первый в мире: в чём уникальность разработок МАИ в области электроракетных двигателей,2025-10
В МАИ создают систему бесконтактного исследования свойств материалов для высокотехнологичных отраслей,2025-10
На модуле МКС «Наука» установлен разработанный в МАИ импульсный плазменный инжектор,2025-10
Аспирант МАИ разрабатывает грузовой космический самолёт на замену ракетам-носителям,2025-10
Умные покрытия против обледенения: эксперт МАИ – о новой разработке ПНИПУ,2025-10
В МАИ нашли способ улучшить теплоизоляцию радиоэлектронного оборудования в космосе,2025-10
В МАИ создают усовершенствованный малый спутник для зондирования Земли,2025-10
Ещё никто не повторил: Герой СССР Анатолий Арцебарский раскрыл эксклюзивные детали эксперимента «Софора»,2025-10
"Китайские роботы-собаки готовятся к лунной миссии, а российские? В МАИ оценили разработки",2025-10
Студенты МАИ создали беспилотный комплекс для мониторинга чрезвычайных ситуаций на промышленных объектах,2025-10
В МАИ создали имитатор электроракетных двигателей спутников для наземных испытаний,2025-10
«Пирамида» исследований: в МАИ разработали ключ к совершенствованию самолётов из композитов,2025-10
Гарантия точности: разработанная в МАИ методика сведёт к минимуму ошибки в навигации самолётов,2025-09
В МАИ создали методику испытаний космической техники на устойчивость к агрессивной среде,2025-09
Важнейший научный эксперимент: профессор МАИ — об успехе миссии «Бион-М» № 2,2025-09
В МАИ разрабатывают методику раннего прогнозирования живучести самолётов из композитов,2025-09
В МАИ разработали стенды для испытаний электрических силовых установок тяжёлых БЛА,2025-09
В МАИ разработали БЛА для мониторинга пастбищ,2025-09
В МАИ создали методику исследования прочности технических конструкций нового поколения,2025-09
"Выпускник МАИ придумал, как применить KasperskyOS для защиты умного дома",2025-09
От виртуального крыла до прогноза поломок: в МАИ создают новую систему управления ресурсом композитов,2025-09
В МАИ разрабатывают методику «безопасного разрушения» самолётов при аварийных посадках,2025-09
Разработка выпускницы МАИ снизит риск ошибок в тестировании операционной системы для самолётов МС-21 и SJ-100,2025-09
К Луне и дальше: в МАИ разработали метод оптимизации траекторий полёта для будущих космических буксиров,2025-08
"Экономия, скорость, надёжность: в МАИ создают уникальные технологии 3D-печати прочных и лёгких деталей самолётов и БЛА",2025-08
В МАИ создают мощный двигатель для тяжёлых беспилотников и аэротакси,2025-08
Беспилотник с машущими крыльями: студент МАИ разрабатывает орнитоптер,2025-08
В МАИ разрабатывают комплексную защиту для двигателей региональных самолётов,2025-08
В МАИ разработали технологию для удалённого контроля БЛА через сети 4G,2025-08
Точечный удар по раку: в МАИ создают наночастицы для адресной терапии,2025-08
Так чья же она: можно ли присвоить Луну навсегда,2025-08
Для энтузиастов и не только: выпускник МАИ создал робота с «распределённым интеллектом»,2025-08
Быстрее мысли: в МАИ создают новую систему управления для самолётов,2025-08
В МАИ разработали инновационный космический двигатель с практически неограниченным ресурсом эксплуатации,2025-08
"Студенты МАИ создают дрон, способный заменить инженеров при инспекции промышленных объектов",2025-08
Вместе – сила: в МАИ стартовала подготовка молодёжных инженерных команд для сферы БАС,2025-07
Цифровая крепость: студентка МАИ разработала многослойную систему защиты от хакерских атак,2025-07
Выпускница МАИ разработала цифровой двойник прибора звёздной ориентации для космических аппаратов,2025-07
В МАИ создали испытательные стенды для сокращения сроков и повышения качества разработки БЛА,2025-07
Цифра к букве – результат: можно ли сделать из ИИ предсказателя болезней и эпидемий,2025-07
Виртуальный полигон: в МАИ создают симулятор для обучения искусственного интеллекта дронов,2025-07
"Беспилотники, сверхзвук – и это только начало: доцент МАИ Михаил Тяглик о будущем авиации",2025-07
Разработанный в МАИ плазменный инжектор поможет изучить ионосферу Земли с МКС,2025-07
Экономичное торможение и уникальная теплозащита: в МАИ разрабатывают технологии для исследования Венеры,2025-07
Система беспилотной доставки грузов от МАИ и ООО «БАС Глори Эйр» успешно прошла испытания,2025-07
В МАИ разрабатывают инновационную систему для удаления почечных камней,2025-07
Студенческое научное сообщество МАИ получило грант от Министерства науки и высшего образования,2025-07
Восемь маёвцев прошли очный этап первого ознакомительного отбора претендентов в кандидаты в космонавты в ЦПК,2025-07
Ускорит и улучшит подготовку к операциям: студенты МАИ разработали ИИ-ассистента для хирургов,2025-07
"Кадры, технологии и будущее БАС: МАИ и ВГТУ провели второй форсайт-форум по беспилотным авиационным системам",2025-06
В МАИ разрабатывают быструю систему доставки грузов с помощью дронов,2025-06
Шаг к полноценной жизни: в МАИ разрабатывают инновационный способ создания умных вкладышей для протезов и ортезов,2025-06
В МАИ разработали литий-ионные аккумуляторы нового поколения для увеличения дальности полёта БЛА,2025-06
Вероятность одобрения близка к 0? Эксперт МАИ – о плюсах и минусах собеседований с ИИ,2025-06
"Кого, куда и зачем: в МАИ рассказали о перспективах суборбитальных пассажирских перелётов",2025-06
В МАИ создают отечественный бортовой комплекс для дронов,2025-06
Новым поколениям – перспективное будущее: ректор МАИ Михаил Погосян – о главных плюсах производственной аспирантуры,2025-06
Опережая время: аспирантка МАИ научила беспилотники мгновенной реакции на сигналы операторов,2025-06
Дело за «Горизонтом»: доцент МАИ создал уникальную систему для повышения безопасности полётов,2025-06
Углерод и керамика: учёные МАИ создают жаростойкий композит для ракетно-космической техники,2025-06
Инженеры МАИ разработали «не устающий» дрон для осмотра объектов и видеонаблюдения,2025-06
"Страх перед будущим: доцент МАИ Дмитрий Сошников рассказал, что тормозит технологический прогресс",2025-06
В МАИ создадут компактную аэродинамическую трубу для испытаний воздушных винтов и силовых установок БЛА,2025-06
Будущее аэромобильности: эксперт МАИ Максим Калягин – о перспективах России в гонке за летающим такси,2025-06
Семь маёвцев избраны академиками и членкорами РАН,2025-06
В сердце навсегда: более 12 тысяч человек отметили юбилей МАИ на фестивале МАИFest95,2025-06
"2800 спутников КНР на орбите: в МАИ рассказали, зачем нужна космическая сеть суперкомпьютеров",2025-05
"В МАИ создают прототип космической системы, способной маневрировать без использования топлива",2025-05
Как нейросети помогают найти работу мечты: доцент МАИ Дмитрий Сошников — о прогрессе ИИ,2025-05
«До сих пор общаюсь с первыми студентами»: доцент МАИ Павел Студников – от шпаги к призванию преподавателя,2025-05
В МАИ придумали способ продления работы ракетных двигателей для дальних космических миссий,2025-05
"Баги не фиксятся, слёзы текут: выпускник МАИ Антон Кухтичев – о правде и мифах в профессии айтишника",2025-05
МАИ и Friflex провели первый в России студенческий Vibe-хакатон,2025-05
«Сердце» БЛА – в твоих руках: МАИ разработал универсальную станцию для управления любыми видами беспилотников,2025-05
Экологичность и экономичность: в МАИ создали стенд для испытания двигателей будущего,2025-05
Участники акселератора стартап-студии МАИ защитили свои проекты перед экспертами,2025-05
Создавая будущее: ПИШ МАИ представила результаты работы за 2024 год,2025-05
От БАС до двигателей: МАИ демонстрирует свои разработки на HeliRussia-2025,2025-05
МАИ представил на выставке HeliRussia-2025 отечественное решение для управления беспилотниками,2025-05
В МАИ создали первый в мире универсальный модульный беспилотник,2025-05
"Новый уровень комфорта: в МАИ рассказали, когда сверхзвуковая пассажирская авиация станет доступной",2025-05
Разработанная в МАИ нейросеть будет следить за качеством изготовления деталей на 3D-принтере,2025-05
В МАИ создали цифровую платформу для автоматического контроля и анализа состояния парка БЛА,2025-04
Российский – лучший: в МАИ рассказали об уникальности МС-21 с новейшими отечественными системами,2025-04
Прогрессивные сплавы: что такое «память формы» металлов и где её можно применять,2025-04
В МАИ разработали упаковку для надёжной транспортировки и длительного хранения крови,2025-04
"Доцент МАИ Ариадна Фармаковская: «Учитель — алхимик, превращающий невежество, лень и низменные мысли в вечные знания»",2025-04
От беспилотников до космоса: в МАИ подвели итоги молодёжной научной конференции «Гагаринские чтения»,2025-04
Готовимся к Марсу: космонавт предложил новые методики наземной тренировки,2025-04
"От идеи — к стартапу: в МАИ состоялась панельная дискуссия, посвящённая карьерному развитию",2025-04
МАИ разрабатывает универсальную платформу для малых космических аппаратов,2025-04
900 новых идей на научной орбите: в МАИ стартовали 51-е «Гагаринские чтения»,2025-04
МАИ создал первый в РФ ревизионный эндопротез тазобедренного сустава,2025-04
От спутников — до дронов: ректор МАИ Михаил Погосян – о концепции бесшовного неба,2025-04
«У меня с наукой и МАИ самые серьёзные отношения»: академик Олег Алифанов – о преданности любимому делу,2025-04
Подготовка в космонавты:  МАИ и ЦПК завершили первый этап уникального образовательного проекта,2025-04
Мы все тут космонавты: выпускник МАИ Александр Лазуткин – о мифах и реалиях профессии космонавта,2025-04
Команда молодых учёных МАИ разрабатывает конвертоплан для мониторинга трубопроводов,2025-04
Специалисты МАИ расширят возможности спутниковой системы «Марафон-IoT»,2025-04
В Ступинском филиале МАИ состоялись X «Колачёвские чтения»,2025-04
Разработанная в МАИ нейросеть решит проблему посадки БЛА в труднодоступных районах,2025-04
Маёвец разработал код для запуска игр на отечественной операционной системе,2025-04
С наукой на «ты»: более 170 проектов представили в школьной секции конференции «Гагаринские чтения»,2025-03
В МАИ разработали технологию повышения прочности полимерных изделий,2025-03
В МАИ испытали новый отечественный двигатель для тяжёлых БЛА,2025-03
Учёные МАИ принимают участие в создании новой методики тестирования композитов,2025-03
Новая сверхбыстрая звезда в галактике: может ли «карлик» повлиять на Землю,2025-03
МАИ примет участие в формировании межвузовского кампуса в Хабаровске,2025-03
Выбирайте пути облёта: почему над Антарктидой нет авиамаршрутов,2025-03
На страже чистоты: в МАИ представили прототип системы роботов-дворников для ЖК,2025-03
В МАИ презентовали технологию спуска на Венеру зонда-пенетратора,2025-03
МАИ как образ жизни: Вячеслав Якименко – об учёбе и работе в родном университете,2025-03
Бессердечная гравитация: что нужно знать о профессии лётчика-истребителя,2025-02
На Земле и в космосе: как работает созданное в МАИ умное антибактериальное покрытие,2025-02
Уже через 5-10 лет? В МАИ рассказали о первом возможном маршруте аэротакси,2025-02
Испытание космосом: профессор МАИ — о жизни вне Земли,2025-02
На себе испытывали всё: выпускница МАИ о пути к заветной космической мечте,2025-02
В МАИ стартовал полуфинал Всероссийской олимпиады студентов «Я — профессионал»,2025-02
Революция в мире 3D-печати: когда человечество будет строить дома на Луне и Марсе,2025-02
"Когда ИИ играет не по правилам: сопротивление, ложь и галлюцинации",2025-02
МАИ проведёт в Антарктиде эксперимент по выживанию в космосе,2025-02
Китайская ИИ-модель от DeepSeek — революция в мире нейросетей?,2025-01
Студенты МАИ разработали программу для детальной ручной настройки дронов любого типа,2025-01
Ничего личного — просто расчёт: в МАИ обучают нейросети проектировать авиатехнику по-новому,2025-01
"Студент МАИ разработал систему, увеличивающую дальность связи с дроном",2025-01
Студентка МАИ создала прибор для оценки изменения состава воздуха акустическим методом,2025-01
От первой буквы кода до первого миллиона: реально ли создать нейросеть и на этом заработать,2025-01
Видеть всё и даже больше: зачем пилотам шлем дополненной реальности,2025-01
Космические самолёты с ИИ и ядерные буксиры: будущее авиаперевозок,2024-12
Цена ошибки: как миссия NASA могла случайно уничтожить жизнь на Марсе,2024-12
ПИШ МАИ переходит на национальную платформу Modeus,2024-12
Покорить Венеру: какие технологии помогут изучить токсичную планету,2024-12
Кибератака во время полёта: может ли ИИ защитить экипаж и пассажиров?,2024-12
Самостоятельные шаттлы: как IT-технологии изменят космические путешествия,2024-12
"Ещё кофе, пока ждёте рейс? Как ИИ может сделать аэропорты комфортнее",2024-12
Искусственный интеллект в образовании: новый этап цифровой грамотности,2024-12
Бизнес-проект на грани фантастики: к чему приведёт освоение космоса,2024-12
"Фреймворки, платформы и инференс-фреймворки: откуда берутся нейронные сети и как их ускорить",2024-12
"Капитан, улыбнитесь: как работает маёвская система умного контроля состояния пилота",2024-12
"Прогрессируют быстрее смартфонов: возможности дронов, о которых мало кто знает",2024-12
Цена ошибки возрастает: как языковые модели трансформируют авиацию,2024-12
"Управлять разумом, а не инстинктами: как лётчику не терять контроль над умным самолётом",2024-12
Попасть на Венеру: можно ли отправить космонавтов на планету-соседку и какие умные технологии для этого нужны,2024-11
Полёты понарошку: для чего нужны искусственно сгенерированные данные в аэрокосмической сфере,2024-11
Искусственный интеллект в социальных медиа: обзор трендов,2024-11
В шесть раз быстрее скорости звука: доцент МАИ Михаил Тяглик рассказал о гражданских самолётах нового поколения,2024-11
Нейросети и предиктивная аналитика: может ли ИИ предсказывать будущее?,2024-11
В МАИ разработали умный комплекс для контроля производства деталей промышленного оборудования,2024-11
Математические модели помогают учёным МАИ искать оптимальный облик марсианского беспилотника,2024-11
Развитие технологий или энергетический коллапс: почему генеративный ИИ может уничтожить глобальную сеть,2024-11
"ИИ, экономика и электричество: отчего умнеют нейросети и есть ли предел совершенству",2024-11
Смогут ли самолёты летать без второго пилота: цифровые технологии в авионике,2024-11
"Ракетный двигатель, разработанный ИИ и напечатанный на 3D-принтере: фантастика или реальность?",2024-11
Предиктивная аналитика: как искусственный интеллект предсказывает поломку самолёта,2024-11
У каждого — свой кусок неба: кто должен охранять орбиту Земли от космического мусора и при чём тут ИИ,2024-11
Места хватит всем? Зачем России огромное число спутников на орбите Земли,2024-11
"Пилот, а вы существуете? Могут ли современные лётчики впасть в опасную зависимость от ИИ на борту",2024-11
"ИИ придумал, человек — полетел: насколько опасно садиться в ракету, созданную искусственным интеллектом",2024-11
Был и сплыл: как студентки МАИ раскрыли исчезновение острова в российской Арктике,2024-11
Эффект перегорающей лампочки: в МАИ разработали систему предупреждения отказов автомобилей,2024-11
Время роботов: как развивают беспилотный транспорт в России,2024-10
Полёты на грани фантастики: почему учёные не пытаются колонизировать дальние планеты,2024-10
В МАИ разработали уникальное решение по умной дефектоскопии,2024-10
«Всевидящее око» вашей безопасности: когда беспилотникам доверят жизни людей,2024-10
Авионика: от стрелочных приборов до бортовых компьютеров,2024-10
Заряженные на уничтожение: чем опасны обломки спутника Intelsat-33e и кто их будет отслеживать,2024-10
Россия создаёт собственную орбитальную станцию с суперкомпьютером. Как ИИ поможет в исследовании космоса?,2024-10
Это точно безопасно? Доцент МАИ рассказал об особенностях сверхзвукового самолёта будущего,2024-10
Экспресс-эволюция: почему роботы и люди думают по-разному,2024-10
Весовое проектирование: почему у самолёта на счету каждый килограмм,2024-10
В МАИ разработали систему умного контроля состояния пилота воздушного судна,2024-10
"Посадит, но не взлетит: как работает система автопилота в самолётах",2024-10
"Углеродный след: правда ли, что самолёты «убивают» экологию сильнее других видов транспорта",2024-10
Умные БЛА: как беспилотники учатся решать сложные задачи,2024-10
"Социальные роботы: способны ли машины на чувства, дружеское рукопожатие и смогут ли заменить человека?",2024-10
В МАИ разрабатывают линейку электродвигателей для грузовых беспилотников и аэротакси,2024-10
IT-проект МАИ позволит авиапрому формировать и хранить в цифре тысячи документов,2024-10
Роботы и угроза: как предотвратить риск «восстания машин»,2024-10
Отечественное решение поможет обучать нейросети с искусственным интеллектом второго поколения,2024-10
В МАИ разрабатывают уникальный по вместимости мини-спутник с отечественными IT-решениями,2024-10
В МАИ разработали цифровые решения для обоснования ресурса композитных агрегатов Superjet-100,2024-10
Кубсаты: как микроспутники завоёвывают космос,2024-10
Космические снимки из «Сириуса»: как стартапер из МАИ запустил высокотехнологичный бизнес,2024-10
Галлюцинации нейросетей и восстание машин: научный сотрудник МАИ о перспективах перехода к «сильному» искусственному интеллекту,2024-10
В МАИ изготовили беспилотник для определения строительных дефектов,2024-10
ИИ в беспилотной авиации: разработчик рассказал о проекте умного дрона «Аврора-1МТ»,2024-09
Студент МАИ разработал гусеничный комплекс для спасательных операций,2024-09
"Не всё так катастрофично, но есть нюанс: доцент МАИ Сергей Огородников оценил заявления об изменениях климата",2024-09
"Самообучение и «сильный» ИИ: научный сотрудник МАИ рассказал, когда роботы начнут готовить нам кофе",2024-09
Выпускник МАИ запустил интеллектуальный облачный сервис по обработке космических снимков,2024-09
Искусственный интеллект учится писать пьесы – интервью с преподавателем МАИ Дмитрием Сошниковым,2024-09
В МАИ готовят коммерческую версию БАС «Контур» с ПО собственной разработки,2024-09
"Директор Передовой инженерной школы МАИ Наталия Шовгеня о беспилотниках, новых материалах и гибридных установках",2024-09
В МАИ разработали беспилотник для мониторинга со сменным набором целевых нагрузок,2024-09
Здесь рождается 90% технологических решений: ректор МАИ Михаил Погосян — о самой топовой профессии XXI века,2024-09
В МАИ разработали навигационный комплекс для беспилотников с элементами ИИ,2024-09
"Подготовка беспилотного охранника: как научить искусственный интеллект отличать  собак от тигров, а драки от танцев",2024-09
"«Мы неустанно стремимся заявить о себе Вселенной. И слушаем, что она ответит»: преподаватель МАИ Василий Егоров о радиосигналах из космоса",2024-09
В МАИ обсудили перспективы развития систем управления винтокрылых машин,2024-09
Студентка МАИ разработала программу для ускорения расчётов на суперкомпьютерах,2024-09
Зачем искусственному интеллекту миллионы синтетических камней и при чём здесь «метод Монте-Карло»,2024-09
Вылет разрешён: как выпускник МАИ импортозаместил ПО для подготовки авиаэкипажей к рейсам,2024-09
"Студент МАИ придумал электроракетный двигатель, работающий на космической пыли",2024-09
"Физически информированные нейросети: как ИИ помогает рассчитывать распространение нефти и газа, отводить тепло от видеокарт и улучшать системы кондиционирования",2024-08
За молодёжью — будущее: в МАИ обсудили ключевые задачи воспитательной работы в вузах России,2024-08
Российские учёные создали беспилотную систему мониторинга опасных веществ в воздухе,2024-08
Преподаватель МАИ Дмитрий Сошников: «Модель искусственного интеллекта начинает вести себя очень человекоподобно»,2024-08
Промпт-инженер и ИТ-тренер: профессии будущего в сфере искусственного интеллекта,2024-08
Магистрант МАИ обучил нейронную сеть оптимизировать производственный процесс,2024-08
Транспортные модели: как математики и программисты помогают избавиться от пробок и проложить оптимальные маршруты,2024-08
Выпускник МАИ разработал ПО для быстрого расчёта взлётно-посадочных характеристик самолёта,2024-08
В МАИ создали дрон с ИИ для автономного полёта и обработки данных в воздухе,2024-08
Искусственный интеллект оценил эффективность землепользования российского винодельческого хозяйства,2024-08
В России разработали модель ИИ для проверки лекарств на совместимость,2024-08
Выпускник МАИ разрабатывает нейросеть для определения дефектов в строительных конструкциях,2024-08
"«Человек усложняет задачу создателям». Живем ли мы в симуляции и что делать, чтобы нас не удалили",2024-08
В МАИ изобрели самозаряжающийся пауэрбанк,2024-08
"Студент МАИ разработал алгоритм, предсказывающий поломки техники",2024-08
Первые аэротакси могут полететь на Кавказе: директор Центра БЛА МАИ о технических аспектах беспилотного будущего,2024-08
В МАИ разработали систему для автоматической посадки беспилотника на небольшую площадку,2024-08
Студенты МАИ придумали сервис для экономичного использования офисной техники,2024-08
"«Идеальный партнёр по мозговому штурму»: доцент МАИ о прошлом и настоящем нейросетей, омнимодальности и о том, как ИИ изменит нашу жизнь в будущем",2024-08
В МАИ разрабатывают ПО для создания цифровых двойников лопаток авиационного двигателя,2024-08
Студент МАИ разработал программный модуль для создания авторской мебели,2024-08
Студенты МАИ создали приложение для отслеживания графика приёма витаминов,2024-07
Как искусственный интеллект учится летать: настоящее и будущее нейросетей в авиации,2024-07
Инженеры ПИШ МАИ испытали цифровую систему объективного контроля состояния водителя,2024-07
В МАИ разработали экономичный метод производства антенн для космических аппаратов,2024-07
Студент МАИ разработал материал для создания лунной инфраструктуры,2024-07
В МАИ разработали математическую модель для оптимизации кислородных систем самолётов,2024-07
"В МАИ создают виртуального помощника, способного генерировать контент в соцсетях",2024-07
Студент МАИ разработал навигатор для туризма по России,2024-07
В МАИ разрабатывают цифровую систему контроля производства печатных плат,2024-07
